iter	RMSE
207	21139.62003
208	21096.03276
209	21075.45653
210	21033.93587
211	20986.39617
212	20967.12358
213	20959.98396
214	20917.07159
215	20883.63317
216	20874.19182
217	20843.60293
218	20834.30308
219	20800.02383
220	20793.12785
221	20784.15527
222	20735.56151
223	20726.72938
224	20688.48237
225	20673.03323
226	20639.52493
227	20629.85061
228	20623.46142
229	20617.2651
230	20581.43433
231	20539.8968
232	20533.82362
233	20501.96451
234	20449.99412
235	20413.18295
236	20390.7569
237	20377.51322
238	20342.95498
239	20334.32576
240	20300.56458
241	20295.08648
242	20258.27823
243	20220.64773
244	20170.4348
245	20128.70367
246	20123.51307
247	20088.26552
248	20065.21381
249	20027.02476
250	19996.35819
251	19970.75722
252	19930.66285
253	19893.95154
254	19861.99375
255	19839.06863
256	19815.28344
257	19810.38989
258	19805.64247
259	19776.90523
260	19765.74157
261	19730.37836
262	19691.09104
263	19686.71356
264	19654.18771
265	19615.36623
266	19595.41718
267	19559.41898
268	19534.24496
269	19496.80167
270	19473.40953
271	19448.99482
272	19414.34729
273	19399.56061
274	19378.7802
275	19366.54789
276	19332.69377
277	19308.83542
278	19275.43582
279	19242.64315
280	19206.2726
281	19182.9126
282	19157.42983
283	19153.36362
284	19126.04412
285	19102.67073
286	19079.75261
287	19065.15986
288	19048.10839
289	19022.88763
290	19004.03754
291	18980.47455
292	18960.2779
293	18944.61271
294	18915.88396
295	18886.74087
296	18853.3087
297	18832.94514
298	18801.77351
299	18773.87397
300	18746.97422
301	18713.91652
302	18680.41509
303	18660.81494
304	18634.78766
305	18618.8058
306	18597.6986
307	18567.06123
308	18551.87951
309	18526.49598
310	18514.50905
311	18498.95378
312	18482.16257
313	18451.73375
314	18422.79156
315	18391.11609
316	18375.05409
317	18352.59684
318	18338.1902
319	18309.81934
320	18283.75078
321	18256.1751
322	18237.26408
323	18222.03828
324	18218.14315
325	18195.73664
326	18173.74063
327	18151.96527
328	18148.20738
329	18144.56044
330	18119.57013
331	18104.08532
332	18086.46104
333	18073.8018
334	18070.30536
335	18061.6526
336	18042.74853
337	18022.69857
338	18000.26068
